sname;sname;dname;z
7386;Meridian ;Cajon Valley Union;-0.9144353687
7387;Naranca ;Cajon Valley Union;-3.9145010657
7388;Rios ;Cajon Valley Union;-1.216480532
7389;W. D. Hall ;Cajon Valley Union;0.0893577967
7390;Avocado ;Cajon Valley Union;1.2813703424
7392;Vista Grande ;Cajon Valley Union;-1.5788471364
7393;Rancho San Diego ;Cajon Valley Union;-0.6980549728
7394;Jamacha ;Cajon Valley Union;-1.5379327228
7395;Blossom Valley ;Cajon Valley Union;3.1475950721
541;Mokelumne Hill ;Calaveras Unified;1.4633308931
543;San Andreas ;Calaveras Unified;-0.7017319668
544;Valley Springs ;Calaveras Unified;0.3956860383
547;Jenny Lind ;Calaveras Unified;-1.7386896688
1508;Cesar Chavez ;Calexico Unified;-3.2131296126
1511;Dool ;Calexico Unified;-3.5453674643
1512;Jefferson ;Calexico Unified;-0.3939758289
1515;Kennedy Gardens;Calexico Unified;-0.3592937663
1516;Blanche Charles ;Calexico Unified;-1.3044596618
1522;Fremont Primary;Calipatria Unified;2.0956866863
4968;Calistoga ;Calistoga Joint Unified;1.6175064541
9005;Bagby ;Cambrian;3.5757301921
9006;Fammatre ;Cambrian;2.2293066879
9007;Farnham Charter;Cambrian;1.65634954
9009;Sartorette Charter;Cambrian;1.0236861325
895;Camino Science and Natural Resources Charter;Camino Union ;-0.1771848969
896;Camino ;Camino Union ;-0.2888880942
9012;Blackford ;Campbell Union;-0.9754282489
9014;Capri ;Campbell Union;1.6990824013
9015;Castlemont ;Campbell Union;2.6632274577
9016;Forest Hill ;Campbell Union;0.7713834543
9017;Lynhaven ;Campbell Union;0.5315535361
9018;Marshall Lane ;Campbell Union;3.2150496277
9020;Rolling Hills Middle;Campbell Union;3.8181543662
9022;Sherman Oaks ;Campbell Union;2.223265155
10928;Camptonville ;Camptonville ;0.9193518049
10929;Camptonville Academy;Camptonville ;-3.7325272464
1341;Capay Joint Union ;Capay Joint Union ;0.4417114685
5134;Canyon Vista ;Capistrano Unified;2.052631657
5135;Vista del Mar ;Capistrano Unified;1.5399953171
5137;Ladera Ranch ;Capistrano Unified;2.2896562939
5140;Oso Grande ;Capistrano Unified;0.7590091197
5147;Oxford Preparatory Academy - South Orange County;Capistrano Unified;0.4581406504
5155;Concordia ;Capistrano Unified;3.3646767986
5156;Crown Valley ;Capistrano Unified;2.2377620568
5157;Las Palmas ;Capistrano Unified;6.9434473476
5158;Palisades ;Capistrano Unified;0.7927258962
5159;Richard Henry Dana ;Capistrano Unified;-0.3803642066
5160;San Juan ;Capistrano Unified;4.1579471093
5162;Viejo ;Capistrano Unified;0.3809751854
5163;Castille ;Capistrano Unified;0.1418689153
5164;Del Obispo ;Capistrano Unified;0.9734978055
5165;Moulton ;Capistrano Unified;1.5281202999
5167;Harold Ambuehl ;Capistrano Unified;2.7081175154
5169;Carl Hankey ;Capistrano Unified;2.191478614
5171;Marian Bergeson ;Capistrano Unified;4.3051411805
5172;Truman Benedict ;Capistrano Unified;2.0929147367
5173;George White ;Capistrano Unified;3.9627474736
5174;Philip J. Reilly /Special Education;Capistrano Unified;0.9350989304
5175;Arroyo Vista ;Capistrano Unified;0.220616539
5177;Bathgate ;Capistrano Unified;3.1122148257
5178;Hidden Hills ;Capistrano Unified;0.5681781431
5179;Clarence Lobo ;Capistrano Unified;2.0489155396
5180;John Malcom ;Capistrano Unified;0.3322106198
5181;Wood Canyon ;Capistrano Unified;0.2429522065
5182;Oak Grove ;Capistrano Unified;2.9026229362
5183;Las Flores ;Capistrano Unified;1.5439087379
5186;Don Juan Avila ;Capistrano Unified;0.2838966793
5193;Chaparral ;Capistrano Unified;0.727912848
5194;Marblehead ;Capistrano Unified;2.2778503218
5195;Laguna Niguel ;Capistrano Unified;4.1471210496
7400;Ada W. Harris ;Cardiff ;3.0372672805
8050;Poinsettia ;Carlsbad Unified;3.6352627989
8055;Buena Vista ;Carlsbad Unified;0.5086018492
8056;Jefferson ;Carlsbad Unified;1.6108399845
8057;Magnolia ;Carlsbad Unified;1.5290523891
8059;Kelly ;Carlsbad Unified;1.3163614148
8060;Hope ;Carlsbad Unified;0.4532177966
8061;Aviara Oaks ;Carlsbad Unified;1.4735653011
8062;Pacific Rim ;Carlsbad Unified;-1.9062672127
8064;Calavera Hills ;Carlsbad Unified;2.0364498296
4837;Tularcitos ;Carmel Unified;0.7751281035
8838;Aliso ;Carpinteria Unified;1.2892196429
8839;Canalino ;Carpinteria Unified;0.8798025445
1323;Caruthers ;Caruthers Unified;1.8687009473
9490;Anderson Heights ;Cascade Union ;-2.4559985274
2284;Northlake Hills ;Castaic Union;0.8119595346
2285;Castaic ;Castaic Union;0.9767350605
2287;Live Oak ;Castaic Union;2.2076376811
66;Castro Valley ;Castro Valley Unified;0.8784105216
67;Chabot ;Castro Valley Unified;-0.8338195562
69;Independent ;Castro Valley Unified;-0.8322824001
70;Marshall ;Castro Valley Unified;-0.1231084999
72;Proctor ;Castro Valley Unified;0.4384847591
73;Stanton ;Castro Valley Unified;0.0284635838
74;Vannoy ;Castro Valley Unified;0.2900086064
8530;Cayucos ;Cayucos ;0.0650429787
6653;Arthur S. Dudley ;Center Joint Unified;-1.9439103205
6654;Cyril Spinelli ;Center Joint Unified;-1.6825337988
6655;Oak Hill ;Center Joint Unified;-1.8301565775
6656;North Country ;Center Joint Unified;-2.2235794892
6826;Central ;Central ;0.1095735211
6828;Valle Vista ;Central ;-0.8517060015
6829;Doﾱa Merced ;Central ;0.0650762366
6830;Bear Gulch ;Central ;-3.4616164498
6831;Coyote Canyon ;Central ;-0.2126791797
1262;James K. Polk ;Central Unified;-0.7136985938
1263;Harvest ;Central Unified;0.4890933058
1272;Herndon-Barstow ;Central Unified;-1.733167806
1273;Houghton-Kearney ;Central Unified;-0.5678522431
1274;Madison ;Central Unified;1.0548821561
1276;McKinley ;Central Unified;-2.243998151
1277;Roosevelt ;Central Unified;-3.5031281025
1278;Teague ;Central Unified;0.3834553125
1279;William Saroyan ;Central Unified;0.833382371
1280;John Steinbeck ;Central Unified;0.0121138738
1281;Norman Liddell ;Central Unified;1.9160804171
1282;River Bluff ;Central Unified;2.5097710264
1928;Akers ;Central Union ;-3.988844408
1929;Central ;Central Union ;-2.4680314805
1930;R. J. Neutra;Central Union ;-2.8026658295
1931;Stratford ;Central Union ;-2.065405455
5198;Buena Terra ;Centralia ;0.5490184661
5199;Centralia ;Centralia ;0.8991248872
5201;George B. Miller ;Centralia ;-1.5971033912
5202;Glen H. Dysinger Sr. ;Centralia ;1.0692948915
5203;Raymond Temple ;Centralia ;0.9074704512
5204;San Marino ;Centralia ;-0.3178767372
5205;Los Coyotes ;Centralia ;-2.8664642261
10008;Whitmore Charter School of Art & Technology;Ceres Unified;1.4775439959
10011;Joel J. Hidahl ;Ceres Unified;-2.8242633966
10012;M. Robert Adkison ;Ceres Unified;-3.2531450609
